 Flight Number,Departure Delay,Arrival Delay,Airline,Origin Airport,Destination Airport,Distance,Flight Date,Delay Ratio
1224,1,52,UA,EWR,LAX,2486,2013-10-29 18:00:00,52
2169,1,4,US,LGA,DCA,239,2013-10-01 07:00:00,4
4669,-4,6,MQ,LGA,ATL,835,2013-05-21 15:00:00,-1.5
1010,1,-19, B6,JFK,BOS,133,2013-04-17 14:00:00,-19
3202,-9,-5,MQ,JFK,IND,631,2013-07-21 15:00:00,0.555555555555556
4661,-4,-8,MQ,LGA,BNA,667,2013-05-26 11:00:00,2
5804,-9,-12,EV ,EWR,OMA,1172,2013-08-12 20:00:00,1.33333333333333
438,NA,-40,NA,JFK,SAN,NA,2013-12-13 18:00:00,6.66666666666667
23,157,137,VX,JFK,SFO,2529,2013-09-20 10:00:00,0.872611464968153
5298,95,86,EV,LGA,OMA,1167,2013-12-10 19:00:00,0.905263157894737
2099,-4,-28,AA,LGA,MIA,1017,2013-08-10 11:00:00,7
2370,-8,-22, DL,LGA,PBI,1123,2013-04-24 17:00:00,2.75
315,-1,NA,DL,JFK,SJU,1633,2013-05-30 13:00:00,5
1141,-6,-21,AA,JFK,MIA,1026,2013-01-15 05:00:00,3.5
518,-3,-3,B6,JFK,BOS,142,2013-07-08 10:00:00,1
1529,-4,0,DL,JFK,LAS,2215,2013-11-03 10:00:00,0
781,-7,-34,DL,LGA,ATL,670,2013-11-13 13:00:00,4.85714285714286
991,NA,34,B6 ,JFK,PBI,1092,2013-03-24 12:00:00,4.25
27,-6,-29,B6,EWR,MCO,953,2013-12-01 09:00:00,4.83333333333333
73,-4,-33, DL,JFK,ATL,664,2013-05-02 19:00:00,8.25
687,-3,11,US,EWR,CLT,576,2013-08-03 17:00:00,-3.66666666666667
61,1,-4,DL,LGA,ATL,832,2013-12-29 18:00:00,-4
1982,-4,-21,DL,LGA,MIA,1179,2013-11-14 15:00:00,5.25
18,-2,-21,WN,LGA,BNA,825,2013-08-31 07:00:00,10.5
1629,13,12,DL,JFK,LAS,2223,2013-07-09 19:00:00,0.923076923076923
3211,-2,12,WN,LGA,MKE,756,2013-10-23 12:00:00,-6
487,-4,-2,US,JFK,CLT,462,2013-04-18 08:00:00,0.5
399,NA,NA, NA,LGA,MCO,872,2013-05-27 21:00:00,1.22222222222222
527,-1,-9,B6 ,EWR,MCO,892,2013-02-21 17:00:00,9
1701,-2,-1,UA,EWR,FLL,988,2013-03-14 07:00:00,0.5
5486,-5,-10,EV,LGA,PIT,365,2013-03-29 16:00:00,2
2099,-3,-28,AA,LGA,MIA,1047,2013-06-01 11:00:00,9.33333333333333
2502,10,29,B6,JFK,BUF,NA,2013-07-20 12:00:00,2.9
527,181,160,B6,EWR,MCO,923,2013-07-21 21:00:00,0.883977900552486
3075,-3,-3,MQ,JFK,CVG,587,2013-11-19 15:00:00,1
711,-8,-30, UA,LGA,ORD,719,2013-11-25 08:00:00,3.75
1643,471,NA,DL,JFK,SEA,2442,2013-07-10 19:00:00,NA
1120,NA,10,UA,EWR,SFO,2503,2013-06-25 11:00:00,-1.25
4596,-3,-4,EV,EWR,STL,963,2013-12-28 14:00:00,1.33333333333333
2247,0,-23,DL ,LGA,ATL,671,2013-07-08 13:00:00,-Inf
2314,24,21,AA,JFK,BOS,87,2013-12-19 20:00:00,0.875
4548,-4,1,EV,EWR,RDU,321,2013-03-21 08:00:00,-0.25
1747,-8,NA,DL,LGA,ATL,768,2013-09-05 08:00:00,2.875
4978,-6,-17, EV,LGA,CLT,508,2013-09-27 15:00:00,2.83333333333333
962,29,31,WN,LGA,BNA,718,2013-03-24 18:00:00,1.06896551724138
1139,2,-16,UA,EWR,SFO,2621,2013-02-09 17:00:00,-8
10,35,15,UA,LGA,IAH,1320,2013-01-17 07:00:00,0.428571428571429
1591,NA,0,NA,EWR,IAH,1412,2013-08-11 06:00:00,0
3851,2,0,EV,EWR,ATL,729,2013-07-07 12:00:00,0
3783,-1,-4,MQ,JFK,CMH,391,2013-01-08 19:00:00,4
89,33,26,B6 ,JFK,SAN,2378,2013-08-11 16:00:00,0.787878787878788
1485,215,202, DL,LGA,MCO,1006,2013-05-23 19:00:00,0.93953488372093
4558,0,8,MQ,LGA,CLE,352,2013-04-19 08:00:00,Inf
419,0,-18,DL,JFK,SEA,2418,2013-11-06 15:00:00,-Inf
301,36,7,UA,EWR,IAH,1311,2013-04-29 19:00:00,0.194444444444444
535,13,7,UA,JFK,LAX,2380,2013-12-23 17:00:00,0.538461538461538
3542,7,-28,9E,JFK,MSP,1040,2013-08-25 18:00:00,-4
2457,NA,NA,DL,JFK,MSY,NA,2013-05-06 19:00:00,22.5
1152,-12,-17,DL,EWR,DTW,401,2013-09-05 09:00:00,1.41666666666667
1275,-4,-2, DL,JFK,SLC,1907,2013-09-18 11:00:00,0.5
4407,-9,-23,EV,EWR,OMA,1164,2013-08-29 08:00:00,2.55555555555556
3608,-6,-21,9E ,JFK,PHL,117,2013-06-16 09:00:00,3.5
2042,-3,-6,DL,EWR,ATL,709,2013-02-15 17:00:00,2
4599,-4,0,MQ,LGA,MSP,988,2013-06-10 06:00:00,0
283,-4,-22,B6,JFK,MCO,1022,2013-08-21 16:00:00,5.5
1747,-1,-4,DL,LGA,ATL,736,2013-11-08 09:00:00,4
743,64,71,AA,LGA,DFW,1382,2013-06-06 12:00:00,1.109375
1248,NA,30, NA,EWR,BOS,152,2013-12-21 14:00:00,0.731707317073171
1247,0,-5,DL,LGA,ATL,807,2013-08-07 20:00:00,-Inf
267,-7,-10,UA,EWR,CLE,324,2013-02-28 16:00:00,1.42857142857143
4367,-1,-5,EV,EWR,GSO,359,2013-04-13 16:00:00,5
1036,-9,-28,US,LGA,CLT,517,2013-05-26 09:00:00,3.11111111111111
4553,-13,NA,MQ ,LGA,CLE,399,2013-01-07 11:00:00,0
5478,242,221,EV,LGA,GSO,536,2013-07-01 11:00:00,0.913223140495868
504,5,-11,WN,EWR,MDW,655,2013-04-30 18:00:00,-2.2
4171,0,18, EV,EWR,MSN,800,2013-02-07 13:00:00,Inf
4152,-8,5,EV,EWR,ATL,774,2013-11-17 19:00:00,-0.625
1854,NA,103,DL,LGA,FLL,1096,2013-03-18 19:00:00,1.43055555555556
652,18,10,UA,EWR,BOS,201,2013-09-15 21:00:00,0.555555555555556
95,12,15,DL,JFK,ATL,773,2013-02-09 15:00:00,1.25
1871,-8,-4,AA,LGA,MIA,1185,2013-06-29 09:00:00,0.5
1147,32,16,DL,LGA,ATL,847,2013-05-03 20:00:00,0.5
4568,13,17,EV,EWR,BUF,NA,2013-03-31 16:00:00,1.30769230769231
193,42,2, VX ,EWR,SFO,2521,2013-05-19 17:00:00,0.0476190476190476
1078,24,8,UA,EWR,SAT,1542,2013-07-07 20:00:00,0.333333333333333
1847,-4,-3,DL,LGA,ATL,778,2013-03-11 10:00:00,0.75
33,0,-15,AA,JFK,LAX,2510,2013-09-19 08:00:00,-Inf
3952,NA,NA,NA,EWR,DEN,1670,2013-04-22 15:00:00,-Inf
2187,52,46,US,LGA,DCA,233,2013-07-12 19:00:00,0.884615384615385
17,-4,1,US,JFK,PHX,2163,2013-07-17 16:00:00,-0.25
3383,-8,6,9E,JFK,CVG,560,2013-04-20 16:00:00,-0.75
1420,43,25, UA,EWR,ORD,767,2013-12-29 14:00:00,0.581395348837209
1414,0,-1,UA,EWR,TPA,928,2013-06-03 10:00:00,-Inf
1481,-2,-16,UA,EWR,BOS,254,2013-09-08 10:00:00,8
1129,-4,5,B6 ,JFK,RSW,1097,2013-11-12 11:00:00,-1.25
601,22,14,B6,JFK,FLL,1118,2013-08-03 06:00:00,0.636363636363636
212,12,69,UA,EWR,IAH,1303,2013-10-21 07:00:00,5.75
778,NA,344,FL,LGA,ATL,861,2013-07-22 18:00:00,0.942465753424658
5258,-3,-1,EV,LGA,MHT,192,2013-06-12 22:00:00,0.333333333333333
2599,8,0, DL,JFK,BOS,184,2013-12-09 20:00:00,0
763,-6,11,AA,LGA,DFW,1345,2013-01-29 15:00:00,-1.83333333333333
3507,-7,-36,9E,JFK,MSY,1086,2013-06-20 08:00:00,5.14285714285714
12,5,NA,B6,JFK,SYR,221,2013-01-04 15:00:00,-1.2
6054,-4,-15,EV,EWR,IAD,280,2013-09-16 12:00:00,3.75
343,-1,-29,AA,LGA,ORD,747,2013-04-30 16:00:00,29
15,6,0,B6 ,JFK,SFO,2554,2013-10-11 08:00:00,0
1751,-8,-7,US,EWR,CLT,538,2013-11-24 18:00:00,0.875
469,NA,54, NA,JFK,SFO,NA,2013-11-06 10:00:00,0.885245901639344
686,-3,-7,US,EWR,PHX,2044,2013-11-03 13:00:00,2.33333333333333
1416,NA,NA,UA,EWR,IAH,1456,2013-02-08 19:00:00,NA
4092,-9,-18,EV,LGA,CLE,507,2013-10-20 13:00:00,2
3048,0,-20,WN,LGA,MKE,751,2013-03-27 06:00:00,-Inf
413,-5,-22,DL,JFK,MIA,999,2013-11-13 18:00:00,4.4
677,-1,-13,B6,JFK,JAX,887,2013-07-10 08:00:00,13
1018,49,69,B6,JFK,BOS,254,2013-02-26 22:00:00,1.40816326530612
3209,-2,-14, WN,LGA,DEN,1570,2013-03-15 12:00:00,7
3616,26,31,MQ ,LGA,MSP,1023,2013-09-13 12:00:00,1.19230769230769
181,NA,NA,AA,JFK,LAX,2494,2013-09-17 16:00:00,-14
1157,-5,-14,DL,EWR,MSP,1061,2013-07-21 08:00:00,2.8
1318,-9,-19,B6,JFK,BOS,166,2013-11-13 12:00:00,2.11111111111111
3419,-2,18,MQ,LGA,ATL,670,2013-08-17 08:00:00,-9
27,10,-28,VX,JFK,SFO,2496,2013-01-07 16:00:00,-2.8
707,-7,-4,US,LGA,CLT,576,2013-12-24 11:00:00,0.571428571428571
1128,10,-33, UA,LGA,IAH,1404,2013-03-03 18:00:00,-3.3
604,-4,-3,B6,JFK,PWM,212,2013-06-18 13:00:00,0.75
79,-4,-1,B6,JFK,MCO,908,2013-01-15 06:00:00,0.25
4395,-6,-16,EV,EWR,IND,739,2013-09-21 13:00:00,2.66666666666667
2042,NA,-1,NA ,EWR,ATL,829,2013-03-19 17:00:00,-Inf
745,-13,7,B6,JFK,PSE,1676,2013-10-09 23:00:00,-0.538461538461538
1461,0,-7,UA,EWR,IAH,1451,2013-04-29 12:00:00,-Inf
1635,1,-18,AA,JFK,SJU,1530,2013-05-17 14:00:00,-18
1689,-5,-15, DL,EWR,DTW,534,2013-05-04 12:00:00,3
63,-2,NA,B6,JFK,TPA,NA,2013-06-19 14:00:00,-20.5
1493,-1,-7,UA,EWR,LAX,2531,2013-12-29 14:00:00,7
2054,-3,11,US,LGA,CLT,586,2013-10-24 09:00:00,-3.66666666666667
517,-5,-11,B6,EWR,MCO,1002,2013-06-19 06:00:00,2.2
3384,-3,119,MQ,LGA,CLT,613,2013-06-13 21:00:00,-39.6666666666667
3832,NA,49,EV,EWR,DCA,198,2013-08-02 21:00:00,0.924528301886792
561,-5,-18,UA ,LGA,DEN,1631,2013-11-01 08:00:00,3.6
2179,-5,-13, US,LGA,DCA,123,2013-02-28 15:00:00,2.6
3317,NA,NA,MQ,LGA,RDU,513,2013-10-07 21:00:00,NA
971,1,-7,B6,LGA,FLL,1093,2013-12-07 10:00:00,-7
4304,-4,-23,EV,EWR,MSY,1255,2013-07-17 13:00:00,5.75
4212,3,22,EV,EWR,RDU,455,2013-10-20 14:00:00,7.33333333333333
341,-3,8,UA,EWR,FLL,1094,2013-01-03 08:00:00,-2.66666666666667
3357,0,15,MQ,LGA,ATL,828,2013-11-21 16:00:00,Inf
4495,-12,-18,EV,EWR,SAV,783,2013-06-10 09:00:00,1.5
707,NA,NA, NA,EWR,MCO,944,2013-03-14 06:00:00,1
315,41,77,UA,EWR,MCO,846,2013-02-13 15:00:00,1.8780487804878
1381,-7,-35,AA ,EWR,DFW,1431,2013-12-02 07:00:00,5
5812,-4,-14,EV,EWR,GSO,363,2013-08-21 13:00:00,3.5
4333,11,29,EV,EWR,TUL,1312,2013-12-12 20:00:00,2.63636363636364
3674,42,58,MQ,LGA,CLE,477,2013-07-26 18:00:00,1.38095238095238
2116,-5,-5,US,LGA,BOS,217,2013-05-31 07:00:00,1
3623,16,31,9E,JFK,CHS,654,2013-06-29 18:00:00,1.9375
257,-9,-20, UA,JFK,SFO,2595,2013-03-26 14:00:00,2.22222222222222
4693,42,44,EV,EWR,MHT,160,2013-01-29 07:00:00,1.04761904761905
341,NA,47,AA,LGA,ORD,NA,2013-04-19 15:00:00,0.734375
983,2,37,B6,LGA,TPA,943,2013-01-31 06:00:00,18.5
1729,-8,-23,B6,JFK,RSW,975,2013-10-28 15:00:00,2.875
4453,128,131,EV ,EWR,MCI,1157,2013-07-09 18:00:00,1.0234375
527,191,153,UA,EWR,DFW,1289,2013-08-28 17:00:00,0.801047120418848
187,-3,NA,VX,EWR,SFO,2622,2013-08-25 10:00:00,7
1791,-6,-1, WN,EWR,STL,922,2013-04-05 12:00:00,0.166666666666667
600,-11,-19,B6,JFK,PWM,311,2013-02-19 10:00:00,1.72727272727273
4674,9,6,MQ,LGA,CLE,493,2013-05-16 18:00:00,0.666666666666667
1232,-5,-33,UA,EWR,LAX,2405,2013-07-16 09:00:00,6.6
529,NA,-21,NA,EWR,STL,956,2013-05-01 12:00:00,-Inf
1999,-6,3,AA,EWR,MIA,1137,2013-03-24 17:00:00,-0.5
1712,1,-4,UA,EWR,IAH,1468,2013-11-05 17:00:00,-4
4144,24,65,EV,EWR,CHS,574,2013-12-19 14:00:00,2.70833333333333
4871,-7,-55, EV ,LGA,MEM,911,2013-02-16 13:00:00,7.85714285714286
3567,NA,NA,MQ,LGA,CLT,611,2013-08-02 13:00:00,NA
1783,1,16,B6,JFK,MCO,983,2013-03-01 13:00:00,16
85,-6,-27,AA,JFK,SFO,2544,2013-11-29 15:00:00,4.5
3416,-7,-5,MQ,LGA,RDU,413,2013-08-19 15:00:00,0.714285714285714
954,4,14,DL,LGA,FLL,1135,2013-09-16 11:00:00,3.5
3355,NA,NA,MQ,LGA,BNA,686,2013-11-14 08:00:00,2.5
926,-2,-18,DL,EWR,ATL,654,2013-07-14 18:00:00,9
795,10,40, B6,JFK,AUS,1422,2013-08-08 09:00:00,4
391,28,6,B6,LGA,MCO,936,2013-05-27 17:00:00,0.214285714285714
1677,11,-19,B6,JFK,JAX,923,2013-08-25 21:00:00,-1.72727272727273
4700,28,27,EV ,EWR,CLT,NA,2013-09-11 21:00:00,0.964285714285714
3809,37,39,EV,EWR,GSO,503,2013-03-27 07:00:00,1.05405405405405
307,-7,-34,AA,LGA,ORD,740,2013-09-23 07:00:00,4.85714285714286
343,-3,-34,UA,EWR,DEN,1572,2013-11-30 06:00:00,11.3333333333333
59,-6,-10,B6,JFK,TPA,945,2013-03-16 08:00:00,1.66666666666667
1615,NA,-4, NA,EWR,AUS,1555,2013-10-04 21:00:00,4
117,-2,-28,B6,JFK,MSY,1122,2013-01-07 06:00:00,14
4327,-4,-4,EV,EWR,SAV,795,2013-03-13 16:00:00,1
1899,66,60,US,LGA,CLT,578,2013-05-03 15:00:00,0.909090909090909
208,-4,-30,UA,EWR,LAS,2231,2013-08-17 09:00:00,7.5
487,-9,NA,US,JFK,CLT,627,2013-03-31 08:00:00,0.777777777777778
4299,-4,5,EV ,EWR,DCA,261,2013-04-05 16:00:00,-1.25
3611,-6,-4,9E,JFK,PIT,274,2013-04-18 07:00:00,0.666666666666667
1185,-1,28, AA,LGA,DFW,1394,2013-12-19 17:00:00,-28
4241,-3,-7,EV,EWR,DCA,171,2013-09-30 06:00:00,2.33333333333333
4532,NA,NA,EV,EWR,CHS,665,2013-11-07 15:00:00,NA
5208,-3,-4,EV,LGA,RIC,216,2013-10-05 11:00:00,1.33333333333333
1772,-7,-4,US,JFK,CLT,597,2013-10-18 06:00:00,0.571428571428571
300,-4,45,AA,EWR,DFW,1325,2013-12-14 13:00:00,-11.25
382,26,1,WN,LGA,MDW,773,2013-10-27 20:00:00,0.0384615384615385
4424,1,-13,EV,EWR,RDU,500,2013-01-06 08:00:00,-13
1819,78,107, DL,LGA,MSP,1053,2013-05-20 14:00:00,1.37179487179487
472,-3,17,DL ,JFK,LAX,2413,2013-12-05 07:00:00,-5.66666666666667
3432,-5,-30,9E,JFK,DCA,292,2013-04-14 08:00:00,6
535,5,6,UA,JFK,LAX,2467,2013-04-12 17:00:00,1.2
475,NA,NA,NA,EWR,BWI,NA,2013-02-18 18:00:00,8
327,-4,-18,UA,EWR,ATL,675,2013-06-20 06:00:00,4.5
371,-2,6,B6,LGA,FLL,1035,2013-01-20 06:00:00,-3
1942,-1,1,DL,EWR,ATL,705,2013-11-10 15:00:00,-1
852,0,-9, UA,EWR,IAH,1444,2013-03-07 21:00:00,-Inf
1171,6,37,AA,LGA,DFW,1356,2013-10-16 17:00:00,6.16666666666667
4577,31,23,MQ,LGA,CLT,541,2013-03-02 13:00:00,0.741935483870968
3370,-6,-11,MQ,JFK,DCA,216,2013-09-21 07:00:00,1.83333333333333
3695,-6,1,MQ ,EWR,ORD,813,2013-01-15 16:00:00,-0.166666666666667
431,-4,11,B6,LGA,SRQ,1102,2013-02-22 13:00:00,-2.75
2190,NA,-16,DL,JFK,MIA,1183,2013-02-13 18:00:00,16
3579,-10,-35,9E,LGA,IAD,207,2013-10-20 09:00:00,3.5
405,-9,-33, UA,LGA,DEN,1584,2013-07-03 11:00:00,3.66666666666667
2185,53,36,US,LGA,DCA,252,2013-09-19 15:00:00,0.679245283018868
33,-2,-25,AA,JFK,LAX,2532,2013-06-22 07:00:00,12.5
2280,-5,NA,DL,JFK,FLL,1076,2013-11-06 15:00:00,7
5769,25,17,EV,LGA,IAD,193,2013-12-15 19:00:00,0.68
3074,-7,-13,WN,LGA,DEN,1648,2013-07-31 11:00:00,1.85714285714286
2698,25,31,WN,EWR,MSY,1177,2013-10-21 18:00:00,1.24
689,NA,NA,UA ,LGA,ORD,822,2013-02-26 17:00:00,NA
3825,NA,17, NA,EWR,IND,671,2013-10-27 15:00:00,1.54545454545455
2181,NA,NA,US,LGA,DCA,306,2013-04-25 16:00:00,NA
931,-8,-18,US,JFK,CLT,516,2013-05-23 12:00:00,2.25
1344,-4,-9,DL,LGA,MCI,1048,2013-01-13 14:00:00,2.25
905,20,8,B6,JFK,ORD,665,2013-07-11 06:00:00,0.4
1013,-4,-34,B6,JFK,LGB,NA,2013-10-27 18:00:00,8.5
4579,NA,NA,MQ,LGA,CLT,625,2013-02-08 15:00:00,NA
993,-4,-3,B6,JFK,MCO,939,2013-02-26 08:00:00,0.75
575,-4,23, UA,EWR,IAH,1480,2013-01-13 10:00:00,-5.75
1973,-6,-28,US,EWR,CLT,545,2013-03-10 18:00:00,4.66666666666667
1176,NA,NA,B6 ,EWR,BOS,131,2013-01-12 16:00:00,0.652173913043478
703,-7,-18,UA,JFK,LAX,2459,2013-08-05 11:00:00,2.57142857142857
4213,-1,-5,EV,EWR,RDU,489,2013-08-10 08:00:00,5
768,22,3,UA,EWR,BOS,268,2013-05-03 20:00:00,0.136363636363636
1338,-7,0,B6,JFK,MVY,207,2013-09-29 13:00:00,0
408,25,23,WN,LGA,BNA,820,2013-01-22 17:00:00,0.92
1109,-3,-24, UA,EWR,MCO,1006,2013-09-13 17:00:00,8
4540,-10,1,MQ,LGA,DTW,478,2013-02-25 16:00:00,-0.1
2065,13,-26,DL,JFK,FLL,1025,2013-08-06 21:00:00,-2
2075,-4,-17,AA,EWR,DFW,1402,2013-03-31 19:00:00,4.25
211,NA,36,NA,JFK,LAS,2336,2013-08-13 06:00:00,12
847,21,7,DL ,LGA,ATL,663,2013-12-05 16:00:00,0.333333333333333
3374,NA,NA,MQ,JFK,RDU,353,2013-11-10 19:00:00,NA
2159,-4,-13,DL,JFK,MCO,952,2013-11-06 19:00:00,3.25
2162,-9,-11, US,LGA,BOS,106,2013-10-29 20:00:00,1.22222222222222
2793,-8,NA,MQ,JFK,CMH,541,2013-10-02 16:00:00,2.125
41,4,15,B6,JFK,FLL,1097,2013-07-20 12:00:00,3.75
21,15,-19,AA,JFK,LAX,2512,2013-02-02 19:00:00,-1.26666666666667
5025,-11,-36,EV,LGA,BTV,290,2013-04-24 09:00:00,3.27272727272727
415,34,88,B6,JFK,SFO,2594,2013-08-13 18:00:00,2.58823529411765
