id,program.type,age,ethnicity.r,major,dal.course.code,se.1,se.2,se.3,se.4,se.5,se.6,se.7,se.8,asi.1,asi.2,asi.3,asi.4,asi.5,asi.6,asi.7,asi.8,asi.9,asi.10,asi.11,asi.12,asi.13,asi.14,asi.15,asi.16,asi.17,asi.18,pc.1,pc.2,pc.3,psp.1,psp.2,psp.3,frost.ps.1,frost.ps.2,frost.ps.3,frost.ps.4,frost.com.1,frost.com.2,frost.com.3,frost.com.4,frost.com.5,frost.da.1,frost.da.2,frost.da.3,frost.da.4,stat.anx.1,stat.anx.2,stat.anx.3,stat.anx.4,stat.anx.5,stat.anx.6,stat.anx.7,stat.anx.8,stat.anx.9,stat.anx.10,stat.anx.11,stat.anx.12,stat.anx.13,stat.anx.14,stat.anx.15,stat.anx.16,math.anx.1,math.anx.2,math.anx.3,math.anx.4,math.anx.5,math.anx.6,math.anx.7,math.anx.8,math.anx.9,faculty,stats,stats.history,gender.category,self.efficacy,asi.phys,asi.cog,asi.social,asi,perf.cog,perf.sp,frost.ps,frost.com,frost.da,stat.anx.tc,stat.anx.i,stat.anx.ah,stat.anx.ws,stat.anx.fst,stat.anx.sc,math.anx
12433210417,0,21,White,psychology,PSYO 2501,5,4,5,5,NA,NA,4,5,3,2,2,1,1,3,1,1,2,1,3,1,1,2,1,1,1,2,3,2,2,3,3,3,4,4,4,5,2,2,2,1,3,3,4,1,3,5,3,5,5,5,5,5,NA,3,4,3,3,4,4,4,4,4,3,4,4,4,4,4,5,4,0,0,1,1,4.666666667,1.166666667,1.5,2.166666667,1.611111111,2.333333333,3,4.25,2,2.75,5,5,4,3.666666667,4,3,4
12433122466,0,18,Hispanic/Latinx,Medical Science , STAT 1060,4,4,4,4,4,4,4,4,3,2,1,1,3,4,1,1,4,1,4,1,4,1,1,2,4,1,4,3,3,7,7,7,4,5,4,4,4,4,4,3,3,4,5,4,5,4,4,3,5,4,3,3,4,1,1,1,2,1,3,2,2,5,5,4,5,5,3,3,5,3,1,0,1,1,4,1,1.666666667,3.833333333,2.166666667,3.333333333,7,4.25,3.6,4.5,4.333333333,3.333333333,3.5,1.333333333,2,1.5,4.222222222
12433058721,0,19,White,Psychology,Stat 1060,3,2,4,3,3,2,2,2,3,4,2,1,3,2,2,1,2,2,1,1,2,2,1,2,1,1,NA,NA,NA,7,7,7,2,2,2,2,3,3,3,3,2,3,4,4,4,4,3,3,5,4,3,3,3,2,1,3,3,2,2,2,2,1,3,3,5,5,3,3,4,2,0,0,1,1,2.625,1.333333333,2.333333333,1.833333333,1.833333333,NA,7,2,2.8,3.75,4.333333333,3,3,2,1.666666667,3,3.222222222
12432420544,0,18,White,English and Psychology,,5,4,4,2,2,3,3,2,3,2,2,2,2,4,4,2,5,2,2,2,3,2,1,1,4,3,2,3,1,6,6,7,4,4,3,3,4,2,3,2,4,5,5,4,3,3,5,2,5,5,4,5,4,2,2,3,3,2,2,3,3,3,4,4,5,5,3,3,5,3,0,0,0,1,3.125,2.166666667,2,3.5,2.555555556,2,6.333333333,3.5,3,4.25,4.333333333,3.333333333,5,2.333333333,2.333333333,3,3.888888889
12430040402,0,22,Asian,Neuroscience,"STAT 1060, PSYO 2501",3,3,3,3,4,3,4,2,3,4,4,4,5,4,4,4,3,5,4,3,5,4,1,5,3,5,3,1,3,7,7,7,3,3,4,4,5,4,5,4,2,4,5,5,5,2,2,2,3,2,3,2,3,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,0,1,1,3.125,3.333333333,4.666666667,3.666666667,3.888888889,2.333333333,7,3.5,4,4.75,2.333333333,2.666666667,2,1.333333333,2,1.5,1.222222222
12428095526,0,19,Black,Kinesiology,STAT 1060,4,5,5,5,5,5,5,5,4,2,4,4,3,4,4,3,2,2,3,2,2,1,1,2,5,3,4,4,3,4,7,6,4,5,4,4,3,2,2,2,1,4,3,3,4,4,1,3,4,5,4,1,4,2,3,4,4,4,2,2,4,4,5,1,5,4,1,5,5,1,1,1,0,0,4.875,3,2.166666667,3.333333333,2.833333333,3.666666667,5.666666667,4.25,2,3.5,4.333333333,3.666666667,1,3.333333333,2.333333333,4,3.444444444
12422415975,0,33,White,Psychology,"STAT 1060, STAT 2080, PSYO 2501, PSYO 3502",4,4,4,4,4,4,3,4,5,2,5,1,5,5,5,2,5,4,5,5,5,2,1,4,5,5,3,4,4,7,7,7,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,4,1,2,2,4,2,3,2,2,3,5,3,5,5,4,5,5,3,1,0,1,1,3.875,3.166666667,3.666666667,5,3.944444444,3.666666667,7,5,4.8,5,5,4.666666667,4,1.666666667,2.333333333,3,4.222222222
12421614224,0,17,Middle Eastern,undecided,STAT 1060,4,4,5,4,5,5,5,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,7,5,5,5,5,3,2,5,2,1,5,3,2,1,3,1,2,5,2,4,2,3,1,1,1,1,1,1,1,1,1,4,1,5,2,1,2,5,1,1,0,1,0,4.625,1,1,1.166666667,1.055555556,4,4.666666667,5,2.6,2.75,3.333333333,3,1.5,1,1,1,2.444444444
12417509193,0,19,White,Recreation Therapy,,4,4,4,3,4,4,4,4,3,1,1,1,1,3,3,1,3,1,1,1,3,1,1,1,4,1,NA,NA,NA,5,6,6,1,2,3,2,4,2,3,1,4,1,1,4,4,4,3,3,4,4,3,3,3,1,1,1,1,1,2,2,1,1,3,2,3,3,2,2,5,2,2,0,0,1,3.875,1.333333333,1,2.833333333,1.722222222,NA,5.666666667,2,2.8,2.5,4,3,3,1,1.666666667,1,2.555555556
12417457503,0,20,White,Psychology,"STAT 1060, PSYO 2501",4,3,5,4,5,2,3,4,4,1,2,1,1,3,2,1,2,1,1,1,4,1,2,1,3,1,1,1,2,3,5,6,2,3,4,3,1,1,1,2,1,4,4,2,3,5,5,1,5,4,2,4,3,2,3,2,4,4,5,2,3,1,3,1,5,3,1,1,5,1,1,0,1,1,3.75,1.5,1,2.833333333,1.777777778,1.333333333,4.666666667,3,1.2,3.25,4.666666667,2,4.5,3,3.333333333,3,2.333333333
12416901633,0,25,White,Psychology ,STAT 2080,4,2,5,4,5,5,4,4,4,4,4,4,3,4,3,4,5,1,5,4,5,5,1,5,3,1,4,4,4,5,7,7,4,5,5,5,2,3,3,2,4,5,5,5,5,4,5,4,5,4,4,5,4,1,1,4,4,2,4,4,2,3,5,3,5,5,3,2,5,2,0,0,1,1,4.125,3.333333333,3.166666667,4.333333333,3.611111111,4,6.333333333,4.75,2.8,5,4.333333333,4,5,1.666666667,3,4,3.666666667
12414941836,0,18,White,medical science ,STAT 1060,4,4,4,4,4,4,4,3,3,2,1,1,2,4,1,1,3,3,2,1,3,2,1,2,2,2,3,3,3,5,5,5,4,5,4,5,5,5,4,5,5,5,5,3,3,4,5,3,4,3,3,5,3,2,2,2,2,2,2,2,2,2,3,1,4,4,2,1,5,2,1,1,0,1,3.875,1,2.166666667,2.833333333,2,3,5,4.5,4.8,4,3.666666667,3,5,2,2,2,2.666666667
12414379381,0,21,White,Psychology,PSYO 2501,4,3,4,4,3,4,4,4,2,1,3,1,1,1,1,1,2,1,3,3,2,1,1,1,1,1,NA,NA,1,5,4,5,2,3,4,4,2,2,2,2,2,3,2,2,2,5,2,1,5,5,4,2,3,2,2,2,2,2,2,2,2,2,4,3,3,4,3,4,5,3,1,0,1,1,3.75,1.666666667,1,1.833333333,1.5,1,4.666666667,3.25,2,2.25,5,2.666666667,2,2,2,2,3.444444444
12411463182,0,19,White,biology,STAT 1060,5,4,5,5,5,5,4,4,4,1,3,2,1,2,2,1,3,1,2,2,4,1,1,2,2,1,2,2,3,4,6,6,4,4,4,4,2,2,1,2,4,2,2,2,3,3,2,2,3,3,1,2,4,1,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,0,1,1,4.625,1.833333333,1.166666667,2.833333333,1.944444444,2.333333333,5.333333333,4,2.2,2.25,3,2.333333333,2,1,1.333333333,1,1.333333333
12411187553,0,21,White,Medical Sciences,STAT 1060,4,3,4,5,4,4,5,4,4,2,1,4,5,1,1,1,4,1,1,1,4,1,1,1,4,1,4,4,4,7,7,6,5,5,4,5,5,4,2,4,5,5,5,4,5,4,5,2,5,5,4,3,3,1,1,1,1,1,1,1,1,3,5,1,4,5,3,4,5,1,1,0,1,1,4.125,1.5,1.833333333,3,2.111111111,4,6.666666667,4.75,4,4.75,4.666666667,3,4,1,1,1,3.444444444
12405325345,0,21,White,Kinesiology,STAT 1060,4,4,4,5,4,5,4,4,4,1,2,2,2,3,3,2,2,1,2,1,2,1,2,1,2,1,1,1,1,4,6,4,3,3,2,3,2,2,1,2,2,1,2,1,3,3,2,2,4,3,2,1,2,2,1,1,1,1,1,1,1,1,2,1,3,2,1,1,2,1,1,0,1,1,4.25,2,1.166666667,2.5,1.888888889,1,4.666666667,2.75,1.8,1.75,3.333333333,2,1.5,1.333333333,1,1,1.555555556
12404588122,0,20,White,psychology,"STAT1060, STAT2080, PSYO2501",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,0,1,1,3,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3
12403400374,0,18,Mixed/Other,Neuroscience,STAT 1060,5,5,5,5,5,4,4,4,3,4,4,2,3,1,4,3,2,3,1,4,5,2,3,3,4,2,3,1,4,6,3,5,4,4,3,4,5,5,5,5,2,5,4,5,5,4,4,2,4,5,3,4,5,2,1,2,2,2,3,2,1,5,5,3,5,5,2,4,5,4,1,1,0,1,4.625,3.333333333,2.833333333,2.666666667,2.944444444,2.666666667,4.666666667,3.75,4.4,4.75,4.333333333,3.333333333,4,1.666666667,2,2,4.222222222
12402662440,0,21,White,Marine Biology,STAT 1060,4,3,4,4,4,2,3,4,4,2,4,2,4,5,4,2,3,2,2,2,4,1,1,2,2,2,2,3,3,5,5,5,3,2,2,2,4,4,2,3,4,4,4,3,4,4,2,3,4,3,2,2,5,2,2,2,2,1,2,3,1,1,1,2,4,5,1,2,3,2,1,0,1,0,3.5,2.5,2.166666667,3.333333333,2.666666667,2.666666667,5,2.25,3.4,3.75,3.666666667,3.333333333,2,1.333333333,2.333333333,2,2.333333333
12400236619,0,19,White,Biology,MATH1060,4,3,4,3,4,4,3,2,4,2,2,2,2,3,2,2,4,4,3,2,4,2,1,2,1,2,2,2,3,7,6,7,3,4,3,3,5,4,4,5,4,4,5,1,3,3,5,4,5,5,4,5,4,2,2,1,2,1,2,5,2,1,5,3,4,3,1,2,5,2,1,0,1,1,3.375,1.833333333,2.333333333,3.166666667,2.444444444,2.333333333,6.666666667,3.25,4.4,3.25,4.333333333,4,5,1.666666667,3,1.5,2.888888889
12400098667,0,18,White,medical sciences,SCIE 1506,4,4,4,4,4,4,3,5,2,1,2,3,1,2,2,2,3,1,2,2,3,1,2,1,2,1,3,3,3,6,5,6,4,4,4,4,5,2,2,2,2,2,4,1,1,2,2,1,3,4,2,1,2,3,1,1,1,2,2,2,1,1,1,1,3,2,1,1,2,1,1,0,1,1,4,2.166666667,1,2.333333333,1.833333333,3,5.666666667,4,2.6,2,3,1.666666667,1.5,2,1.666666667,1,1.444444444
12399651798,0,18,White,undecided ,STAT 1060,3,2,2,2,3,2,2,1,4,2,1,1,2,5,3,3,5,3,5,2,5,2,1,1,5,2,2,4,4,7,7,7,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,4,5,4,2,2,2,3,2,3,3,2,1,4,2,4,4,3,3,5,4,1,0,1,1,2.125,1.833333333,2,4.833333333,2.888888889,3.333333333,7,4.75,5,5,4.666666667,3.666666667,5,2,2.666666667,2.5,3.333333333
